Wall time,Step,Value
1744342426.112639,1254,0.625
1744342426.2548277,1257,0.671875
1744342426.4459522,1261,0.609375
1744342428.2704537,1267,0.6328125
1744342428.4609554,1271,0.671875
1744342429.7551868,1298,0.65625
1744342431.0231616,1325,0.7421875
1744342431.9624212,1345,0.6328125
1744342433.370365,1375,0.703125
1744342433.4167876,1376,0.671875
1744342435.3382847,1417,0.671875
1744342436.3798764,1439,0.65625
1744342437.2486258,1457,0.640625
1744342437.2952418,1458,0.6484375
1744342439.109431,1494,0.703125
1744342439.4987755,1502,0.609375
1744342439.9042015,1510,0.7109375
1744342440.0585368,1513,0.7265625
1744342441.8846204,1548,0.6953125
1744342442.0316436,1551,0.6875
1744342442.729653,1565,0.71875
1744342442.871077,1568,0.671875
1744342443.116517,1573,0.625
1744342443.7312412,1585,0.65625
1744342446.012718,1596,0.7109375
1744342447.5684273,1627,0.734375
1744342447.961681,1635,0.6640625
1744342449.7162073,1670,0.546875
1744342450.5170255,1685,0.7265625
1744342451.3837786,1702,0.6328125
1744342451.4866493,1704,0.65625
1744342451.6477962,1707,0.6875
1744342451.8502777,1711,0.703125
1744342455.0568118,1775,0.703125
1744342455.153471,1777,0.7421875
1744342455.7239902,1789,0.8515625
1744342458.462207,1847,0.7109375
1744342459.0747964,1860,0.7578125
1744342459.4052758,1867,0.6171875
1744342460.9148598,1899,0.6640625
1744342461.0737717,1902,0.6796875
1744342461.3589602,1908,0.75
1744342461.4055805,1909,0.6796875
1744342462.6800666,1936,0.796875
1744342462.8693044,1940,0.7265625
1744342463.1070209,1945,0.71875
1744342463.8086324,1960,0.7265625
1744342463.854794,1961,0.7109375
1744342464.7181766,1979,0.6640625
1744342469.0893817,2070,0.7265625
1744342469.5225546,2079,0.6171875
1744342469.9987495,2089,0.75
1744342470.529917,2100,0.6953125
1744342471.2624474,2115,0.7265625
1744342471.4562867,2119,0.6875
1744342476.7711954,2194,0.671875
1744342477.5003257,2209,0.6875
1744342477.789074,2215,0.703125
1744342478.9619477,2239,0.7109375
1744342479.201947,2244,0.6796875
1744342482.832,2319,0.6640625
1744342484.7549808,2359,0.75
1744342486.427334,2394,0.703125
1744342488.446134,2436,0.7265625
1744342488.687723,2441,0.703125
1744342489.3141947,2454,0.7890625
1744342489.6990535,2462,0.765625
1744342489.8559093,2465,0.6953125
1744342490.7981482,2485,0.6875
1744342491.6482522,2503,0.71875
1744342492.310981,2517,0.6640625
1744342492.4138012,2519,0.71875
1744342492.9760888,2530,0.6953125
1744342495.4864044,2577,0.765625
1744342495.5461607,2578,0.7109375
1744342496.5820792,2599,0.6953125
1744342497.9373057,2627,0.7265625
1744342498.3247185,2635,0.6953125
1744342498.7085152,2643,0.734375
1744342501.6417918,2670,0.796875
1744342501.8407412,2674,0.75
1744342502.1852887,2681,0.6875
1744342502.3404305,2684,0.7265625
1744342502.7884612,2693,0.6875
1744342503.5433989,2708,0.703125
1744342504.023283,2717,0.765625
1744342504.8731375,2734,0.75
1744342505.125207,2739,0.7890625
1744342505.1721447,2740,0.78125
1744342505.8101306,2753,0.78125
1744342505.8592787,2754,0.6328125
1744342505.906094,2755,0.7265625
1744342506.3861709,2765,0.8125
1744342506.5291772,2768,0.734375
1744342507.371215,2785,0.7265625
1744342508.7183554,2812,0.75
1744342509.8257978,2834,0.7890625
1744342510.3223271,2844,0.7578125
1744342511.1448083,2861,0.6171875
1744342511.1914499,2862,0.703125
1744342514.0356822,2921,0.7734375
1744342515.5694273,2952,0.703125
1744342515.7148824,2955,0.71875
1744342516.061667,2962,0.75
1744342516.2017496,2965,0.796875
1744342516.5786755,2973,0.75
1744342518.8305118,3019,0.703125
1744342519.547604,3034,0.671875
1744342520.1651418,3047,0.703125
1744342521.8826997,3083,0.71875
1744342521.9298754,3084,0.7265625
1744342522.8586147,3103,0.7734375
1744342522.9115024,3104,0.671875
1744342522.9621677,3105,0.7890625
1744342523.6592233,3119,0.671875
1744342523.707019,3120,0.734375
1744342523.7537668,3121,0.6484375
1744342524.0896468,3128,0.75
1744342524.8979383,3145,0.7578125
1744342526.2529323,3173,0.796875
1744342528.8422892,3192,0.734375
1744342529.1821039,3199,0.765625
1744342529.4181578,3204,0.765625
1744342530.079076,3217,0.8359375
1744342530.231749,3220,0.8203125
1744342531.2563431,3241,0.8046875
1744342532.4220889,3265,0.828125
1744342532.568334,3268,0.703125
1744342534.4067118,3306,0.78125
1744342536.054832,3340,0.7265625
1744342536.8384993,3356,0.6875
1744342537.710988,3374,0.765625
1744342538.2573094,3385,0.6953125
1744342539.1726813,3404,0.71875
1744342539.8478286,3418,0.71875
1744342541.9927871,3461,0.7578125
1744342543.1057775,3483,0.7578125
1744342543.153331,3484,0.7265625
1744342543.5257373,3491,0.7421875
1744342543.6275172,3493,0.765625
1744342543.9868596,3500,0.6796875
1744342545.2579894,3526,0.71875
1744342547.2048411,3566,0.796875
1744342547.354869,3569,0.734375
1744342547.6975398,3576,0.796875
1744342548.2916684,3588,0.8046875
1744342548.8859673,3600,0.7890625
1744342549.5116541,3613,0.796875
1744342549.559275,3614,0.828125
1744342549.655973,3616,0.75
1744342551.478781,3654,0.71875
1744342551.6201792,3657,0.734375
1744342551.7178183,3659,0.7578125
1744342551.8124459,3661,0.765625
1744342551.9555087,3664,0.7109375
1744342552.1455395,3668,0.8125
1744342552.2873852,3671,0.7578125
1744342553.1946058,3690,0.765625
1744342554.2675023,3712,0.703125
1744342554.5142257,3717,0.734375
1744342557.9640203,3754,0.765625
1744342558.3108287,3761,0.796875
1744342558.4100916,3763,0.7578125
1744342559.3638031,3782,0.796875
1744342562.6207488,3848,0.71875
1744342562.7168481,3850,0.7578125
1744342563.632467,3869,0.765625
1744342565.2125776,3902,0.75
1744342565.6498718,3911,0.703125
1744342565.8419158,3915,0.8046875
1744342566.1262321,3921,0.78125
1744342566.7010098,3933,0.75
1744342566.8462596,3936,0.8359375
1744342568.321359,3966,0.8125
1744342568.7921321,3975,0.75
1744342569.086621,3981,0.6875
1744342570.5934181,4012,0.7265625
1744342570.6939354,4014,0.7265625
1744342571.143739,4023,0.734375
1744342571.733375,4034,0.75
1744342572.025782,4040,0.7421875
1744342572.372948,4047,0.7734375
1744342574.1699092,4084,0.7265625
1744342575.383839,4109,0.734375
1744342575.6722655,4115,0.75
1744342575.9620178,4121,0.7421875
1744342576.107261,4124,0.7421875
1744342577.2479215,4146,0.78125
1744342579.0230224,4181,0.8125
1744342579.5580375,4192,0.8046875
1744342581.3010983,4227,0.765625
1744342582.41015,4249,0.7890625
1744342584.4771729,4257,0.7421875
1744342587.5534,4318,0.8125
1744342588.0470037,4328,0.7578125
1744342588.3402338,4334,0.7578125
1744342591.385638,4395,0.7734375
1744342593.317834,4435,0.703125
1744342593.7066975,4443,0.8203125
1744342594.2410522,4454,0.7421875
1744342594.8319345,4466,0.8203125
1744342597.7777853,4525,0.7265625
1744342598.2695718,4535,0.765625
1744342598.462539,4539,0.7109375
1744342599.6748626,4564,0.796875
1744342599.8708713,4568,0.7578125
1744342600.1607366,4574,0.7578125
1744342601.8672717,4609,0.7421875
1744342602.0138886,4612,0.7890625
1744342603.810128,4649,0.7578125
1744342604.2942553,4659,0.765625
1744342605.2029376,4678,0.7421875
1744342605.586455,4686,0.7265625
1744342605.7791052,4690,0.7578125
1744342605.8776991,4692,0.765625
1744342606.1666286,4698,0.765625
1744342606.6009228,4707,0.7265625
1744342607.7196736,4730,0.7421875
1744342608.0560594,4737,0.71875
1744342609.1024446,4759,0.7421875
1744342609.718132,4772,0.7109375
1744342609.9101758,4776,0.78125
1744342609.9573302,4777,0.7734375
1744342613.0446959,4807,0.765625
1744342614.1664069,4830,0.8046875
1744342614.2642806,4832,0.78125
1744342614.4103625,4835,0.7890625
1744342614.4591885,4836,0.7890625
1744342614.8498738,4844,0.765625
1744342616.6841888,4882,0.71875
1744342617.3058865,4895,0.828125
1744342618.0299623,4910,0.8046875
1744342618.9529557,4929,0.765625
1744342619.4752142,4940,0.734375
1744342619.9256425,4949,0.71875
1744342621.397417,4980,0.8203125
1744342621.922331,4991,0.7890625
1744342623.4625223,5023,0.828125
1744342624.626986,5047,0.78125
1744342625.530923,5066,0.765625
1744342626.1510603,5079,0.78125
1744342626.2007985,5080,0.796875
1744342626.5838895,5088,0.8046875
1744342626.6798656,5090,0.7578125
1744342628.6922317,5132,0.78125
1744342628.8799474,5136,0.734375
1744342629.069586,5140,0.7421875
1744342629.590298,5151,0.7734375
1744342629.7339299,5154,0.7890625
1744342629.7815313,5155,0.8125
1744342631.3006275,5187,0.7265625
1744342631.8463984,5198,0.734375
1744342631.9423363,5200,0.75
1744342632.1857605,5205,0.78125
1744342632.281499,5207,0.7734375
1744342632.8218622,5218,0.8046875
1744342633.1629653,5225,0.765625
1744342633.7842538,5238,0.703125
1744342634.5174108,5253,0.828125
1744342634.951068,5262,0.796875
1744342635.093825,5265,0.7109375
1744342636.5420969,5295,0.7890625
1744342637.6409547,5318,0.8046875
1744342637.6835945,5319,1.0
1744342639.4654,5322,0.828125
1744342639.561716,5324,0.7734375
1744342639.7528524,5328,0.7890625
1744342640.0409148,5334,0.8125
1744342641.439022,5362,0.8515625
1744342641.8521132,5370,0.71875
1744342642.9818676,5393,0.8046875
1744342643.4614553,5403,0.78125
1744342645.483463,5445,0.828125
1744342645.9217691,5454,0.734375
1744342646.166668,5459,0.78125
1744342648.293937,5504,0.7890625
1744342648.5351505,5509,0.7890625
1744342649.1121576,5521,0.765625
1744342651.3306139,5567,0.7890625
1744342653.1089723,5604,0.796875
1744342656.127823,5667,0.7421875
1744342659.224335,5730,0.84375
1744342660.5487049,5758,0.7734375
1744342661.6386561,5781,0.828125
1744342664.0728955,5832,0.7578125
1744342667.4519422,5866,0.71875
1744342668.075097,5879,0.765625
1744342668.2219656,5882,0.71875
1744342671.4252367,5948,0.7890625
1744342671.8130908,5956,0.7890625
1744342672.1972523,5964,0.8046875
1744342673.0109646,5981,0.8203125
1744342673.4394047,5990,0.7734375
1744342673.7721705,5997,0.859375
1744342674.0619545,6003,0.75
1744342674.351273,6009,0.8203125
1744342676.0771484,6045,0.828125
1744342676.460312,6053,0.8125
1744342677.6689384,6078,0.7578125
1744342677.7177763,6079,0.796875
1744342679.2670884,6111,0.7265625
1744342679.363431,6113,0.796875
1744342680.3257284,6133,0.7734375
1744342680.5650547,6138,0.8046875
1744342680.6615095,6140,0.8203125
1744342680.7592354,6142,0.84375
1744342682.0107815,6168,0.78125
1744342684.789457,6225,0.78125
