Wall time,Step,Value
1745031839.4169276,18,0.125
1745031872.9637165,47,0.1875
1745031890.4441447,62,0.375
1745031891.6119902,63,0.125
1745031901.0055013,71,0.1875
1745031913.917385,82,0.1875
1745031922.1547396,89,0.0
1745031938.672576,103,0.3125
1745031943.391645,107,0.125
1745031968.2624052,128,0.125
1745031970.6306133,130,0.3125
1745032002.6954398,157,0.1875
1745032006.261673,160,0.1875
1745032011.016331,164,0.125
1745032020.558107,172,0.3125
1745032043.1831439,191,0.25
1745032057.489588,203,0.3125
1745032088.495463,229,0.25
1745032106.40502,244,0.125
1745032107.5996308,245,0.3125
1745032124.3095284,259,0.0
1745032138.655731,271,0.375
1745032151.7970114,282,0.3125
1745032155.3830626,285,0.3125
1745032192.4149399,316,0.125
1745032196.0105884,319,0.25
1745032228.30045,346,0.3125
1745032242.6384432,358,0.1875
1745032252.1954763,366,0.1875
1745032266.562377,378,0.25
1745032276.1177049,386,0.375
1745032280.8935392,390,0.3125
1745032295.2451,402,0.3125
1745032310.759043,415,0.25
1745032353.432311,436,0.125
1745032354.629242,437,0.375
1745032365.3862925,446,0.125
1745032383.3618655,461,0.1875
1745032388.145463,465,0.3125
1745032400.0951726,475,0.4375
1745032406.0949798,480,0.375
1745032407.295754,481,0.3125
1745032442.1241395,510,0.25
1745032444.5198379,512,0.3125
1745032445.7172985,513,0.25
1745032469.6570876,533,0.375
1745032475.6460419,538,0.25
1745032478.0334704,540,0.1875
1745032492.3847666,552,0.1875
1745032497.1847696,556,0.25
1745032504.3601847,562,0.125
1745032537.861134,590,0.125
1745032542.636836,594,0.5
1745032545.0317578,596,0.3125
1745032584.5155969,629,0.25
1745032594.0850627,637,0.3125
1745032601.2498908,643,0.4375
1745032602.4442213,644,0.1875
1745032619.2086246,658,0.125
1745032629.9656045,667,0.25
1745032639.5404918,675,0.25
1745032694.5968096,721,0.1875
1745032699.3786829,725,0.1875
1745032722.1167345,744,0.3125
1745032746.053912,764,0.0625
1745032759.203327,775,0.25
1745032767.5850892,782,0.1875
1745032774.757716,788,0.375
1745032793.88898,804,0.3125
1745032811.8389537,819,0.5625
1745032827.3868456,832,0.125
1745032874.887035,857,0.3125
1745032885.6632168,866,0.1875
1745032909.5859601,886,0.3125
1745032927.5459623,901,0.1875
1745032962.2165084,930,0.1875
1745032976.566235,942,0.3125
1745033044.7002037,999,0.3125
1745033050.6753454,1004,0.25
1745033063.8563101,1015,0.3125
1745033072.2433178,1022,0.25
1745033077.0262694,1026,0.3125
1745033079.4147892,1028,0.375
1745033090.1654248,1037,0.25
1745033112.9117527,1056,0.375
1745033130.8520336,1071,0.375
1745033138.0221202,1077,0.1875
1745033163.1427443,1098,0.3125
1745033170.3229172,1104,0.375
1745033176.3026814,1109,0.25
1745033178.694742,1111,0.3125
1745033195.4586,1125,0.4375
1745033203.8252494,1132,0.0625
1745033220.5779667,1146,0.375
1745033226.5568998,1151,0.3125
1745033227.7537599,1152,0.4375
1745033242.1003814,1164,0.1875
1745033254.073811,1174,0.1875
1745033256.4704008,1176,0.375
1745033266.0431163,1184,0.3125
1745033276.9309173,1193,0.25
1745033306.8384862,1218,0.3125
1745033315.211834,1225,0.375
1745033340.3261056,1246,0.3125
1745033347.4991083,1252,0.3125
1745033349.8882124,1254,0.25
1745033371.0154037,1257,0.1875
1745033375.8067698,1261,0.5
1745033382.9901705,1267,0.25
1745033387.769934,1271,0.25
1745033393.7504992,1276,0.25
1745033420.1038876,1298,0.375
1745033452.4208293,1325,0.25
1745033476.3434672,1345,0.1875
1745033494.2853348,1360,0.375
1745033499.0627427,1364,0.375
1745033512.205866,1375,0.25
1745033513.4009814,1376,0.3125
1745033562.3862143,1417,0.25
1745033587.5034096,1438,0.4375
1745033588.7021952,1439,0.1875
1745033610.2462487,1457,0.3125
1745033611.4417982,1458,0.4375
1745033654.48825,1494,0.3125
1745033664.054234,1502,0.4375
1745033673.6304302,1510,0.3125
1745033677.2153208,1513,0.3125
